"https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link","Tipo","Provincia","Localidad","Barrio","Domicilio","Cód. Postal","Cuit","Telefono","Ap.Vacuna","Ap.Vacuna Menor"
"Farmacia Alem","Farmacia","Buenos Aires","Banfield","","CED, Leandro N. Alem 1004, Banfield, Provincia de Buenos Aires, Argentina","1828","27-13059508-7","","No","No"
"Farmacia Sindical Banfield ","Farmacia","Buenos Aires","Banfield","","Av. Adolfo Alsina 740, B1828abp Banfield, Provincia De Buenos Aires, Argentina","1828","30-59920193-5","","Si","Si"
"Nueva Gispert","Farmacia","Buenos Aires","Banfield","","Maipú 401","1828","30-71178100-1","","Si","Si"
"Pasteur  - Farma Banfield ","Farmacia","Buenos Aires","Banfield","","Av. Adolfo Alsina 390, B1828abj Gran Buenos Aires, Provincia De Buenos Aires, Argentina","1828","30-71179856-7","","Si","Si"
"Rawson","Farmacia","Buenos Aires","Banfield","","URIARTE 398","1828","20-05169533-0","","No","No"
"Saibene","Farmacia","Buenos Aires","Banfield","","Maipu 202","1828","30-52719406-3","","Si","No"
"Vives","Farmacia","Buenos Aires","Banfield","","Blvd. Armesti 3296","1828","30-69905205-8","","Si","Si"
"Mobilia","Farmacia","Buenos Aires","Batan","","Av. Pte Peron 10419","7601","27-21762165-3","","No","No"
"Punta Chica","Farmacia","Buenos Aires","Beccar","","Avenida del Libertador 18300","1643","33-69657830-9","","No","No"
"Selma Beccar","Farmacia","Buenos Aires","Beccar","","INTENDENTE TOMKINSON AVDA. 2995","1643","30-71086603-8","","No","No"
"Farma 365 - Joan Selma","Farmacia","Buenos Aires","Belen De Escobar","","Av. Eugenia Tapia De Cruz 772, B1625 Belén De Escobar, Provincia De Buenos Aires, Argentina","1625","20-37986211-0","","Si","Si"
"Farmacia Odeon","Farmacia","Buenos Aires","Belen De Escobar","","Av. Gral. San Martin 1091","1625","30-71878413-8","","Si","Si"
"Farmacia Dibur","Farmacia","Buenos Aires","Bella Vista","","Rio Limay 1126","1161","27-36164634-2","","No","No"
"Farma 365 - Farmagic","Farmacia","Buenos Aires","Benavidez","","Sgo. Del Estero 507, B1621 Benavidez, Provincia De Buenos Aires, Argentina","1623","30-71587575-2","","Si","Si"
"Farmacia Magrans","Farmacia","Buenos Aires","Benavidez","","JUAN DOMINGO PERON 6474","1621","27-24811189-0","","Si","Si"
"Aguilera","Farmacia","Buenos Aires","Benito Juarez","","Roldán 266","7020","30-71761715-7","","No","No"
"Garamendy","Farmacia","Buenos Aires","Benito Juarez","","AVENIDA LIBERTAD 52","7020","30-53878672-8","","Si","No"
"Arrebola","Farmacia","Buenos Aires","Berazategui","","Avenida Néstor Kirchner (ex Av. Mitre) 1689, EFD, Provincia de Buenos Aires, Argentina","1884","27-20679819-5","","No","No"
"Benedetto ","Farmacia","Buenos Aires","Berazategui","","CALLE 14 NRO. 4998","1884","30-70974978-8","","No","No"
"Berapharma","Farmacia","Buenos Aires","Berazategui","","Calle 131 número 5698, esquina calle 57","1885","30-71629783-3","","No","No"
"Chirumbolo","Farmacia","Buenos Aires","Berazategui","","Av. 14 5656, B1884 Berazategui, Provincia De Buenos Aires","1884","27-34079710-3","","Si","No"
"Farmacia Hudson","Farmacia","Buenos Aires","Berazategui","","Calle 137 N° 6359","1884","30-71719626-7","","Si","No"
"Farmacia Reinoso ","Farmacia","Buenos Aires","Berazategui","","Av. 21 4003, B1884eea Eea, Provincia De Buenos Aires, Argentina","1884","27-17097364-5","","Si","Si"
"Farmacia Soria","Farmacia","Buenos Aires","Berazategui","","Av. 7 N° 1198","1884","30-71467807-4","","Si","No"
"Guastella","Farmacia","Buenos Aires","Berazategui","","Calle 146 1293 ,b1880 Berazategui, Provincia De Buenos Aires","1884","30-71772685-1","","Si","No"
"Iturre","Farmacia","Buenos Aires","Berazategui","","Diagonal Lisandro de la Torre 1596","1884","30-70761739-6","","No","No"
"Lerana","Farmacia","Buenos Aires","Berazategui","","Av. 14 3999, B1884cua","1884","30-71778112-7","","Si","Si"
"Magadan","Farmacia","Buenos Aires","Berazategui","","Av. 14 N° 4325","1884","30-71588312-7","","No","No"
"Mutualidad Ducilo","Farmacia","Buenos Aires","Berazategui","","Mitre 442","1884","30-54039476-4","","No","No"
"Pharmaxxi","Farmacia","Buenos Aires","Berazategui","","Av. 21 2315, B1884ecq Berazategui Oeste, Provincia De Buenos Aires","1844","30-71745284-0","","Si","No"
"Rotonda","Farmacia","Buenos Aires","Berazategui","","Calle 413 No 77","1890","30-71732940-2","","No","No"
"Rubbo","Farmacia","Buenos Aires","Berazategui","","C. 7 A Nº 4963","1884","20-31597059-9","","Si","No"
"Sol Berazategui","Farmacia","Buenos Aires","Berazategui","","Avenida Nestor Kirchner (ex Av. Mitre) 2372, Berazategui, Provincia de Buenos Aires, Argentina","1884","30-70899249-2","","No","No"
"Trasel","Farmacia","Buenos Aires","Berazategui","","Av. 21 3153","1884","30-71546164-8","","Si","Si"
"Traverso","Farmacia","Buenos Aires","Berazategui","","Av. Eva Peron 1302","1884","27-27816647-9","","No","No"
"Fagnani","Farmacia","Buenos Aires","Beriso","","Av. 60 Numero 51","1924","30-71790894-1","","Si","No"
"Medea","Farmacia","Buenos Aires","Berisso","","Montevideo N 1381 E/ 15 Y 16","1923","30-71006433-0","","Si","No"
"Berisso","Farmacia","Buenos Aires","Berisso","","Calle 11  2882","1924","30-70168244-7","","No","No"
"Del Este","Farmacia","Buenos Aires","Berisso","","Calle 122 Numero 1848","1924","30-69142860-1","","No","No"
"Denavi ","Farmacia","Buenos Aires","Berisso","","Montevideo 2438","1923","30-69137512-5","","No","No"
"Farmacia Gallo","Farmacia","Buenos Aires","Berisso","","Democracia 601","1923","27-34946800-5","","Si","Si"
"Penacca ","Farmacia","Buenos Aires","Berisso","","GENOVA 4211","1923","30-70166279-9","","Si","Si"
"Bardone","Farmacia","Buenos Aires","Bernal","","Belgrano 160, Bernal, Provincia de Buenos Aires, Argentina","1876","27-10162770-0","","Si","No"
"Di Meglio","Farmacia","Buenos Aires","Bernal","","José Evaristo Uriburu 501","1876","20-14283871-1","","Si","Si"
"Irrazabal","Farmacia","Buenos Aires","Bernal","","CARLOS BRAGGIO 1041","1876","20-12214752-6","","Si","No"
"Maga Shop Bernal-Maga Shop Expres","Farmacia","Buenos Aires","Bernal","","SAN MARTIN 756 AVDA","1876","30-70720214-5","","No","No"
"Maga Shop Ii-Maga Shop Expres","Farmacia","Buenos Aires","Bernal","","LEBENSOHN 10","1876","30-70701314-8","","No","No"
"Mattera","Farmacia","Buenos Aires","Bernal","","Avenida San Martín 600, Bernal, Provincia de Buenos Aires, Argentina","1876","30-71117712-0","","Si","Si"
"Soy Nueva Ventura","Farmacia","Buenos Aires","Bernal","","Avenida Los Quilmes 736, Bernal Oeste, Provincia de Buenos Aires, Argentina","1876","30-71204399-3","","No","No"
"Soy Salud Nuevafar","Farmacia","Buenos Aires","Bernal","","Cerrito 488, Bernal, Provincia de Buenos Aires, Argentina","1876","30-71428022-4","","No","No"
"Soy Sanar 1","Farmacia","Buenos Aires","Bernal","","Avenida Los Quilmes 1, Bernal Oeste, Provincia de Buenos Aires, Argentina","B1876IYC","30-70892950-2","","No","No"
"Soy Sanar 9","Farmacia","Buenos Aires","Bernal","","9 de Julio 190, Bernal Oeste, Provincia de Buenos Aires, Argentina","1876","30-71104862-2","","Si","No"
"Soy Sanar Caseros","Farmacia","Buenos Aires","Bernal","","Av. Caseros 1611","1876","30-71484468-3","","No","No"
"Iglesias","Farmacia","Buenos Aires","Bolivar","","AV. VENEZUELA 546","6550","27-21853174-7","","Si","Si"
"Comas","Farmacia","Buenos Aires","Bolivar","","Avenida San Martín 600","6550","27-17721954-7","","No","No"
"Fal","Farmacia","Buenos Aires","Bolivar","","San Martin 500 y Alvear","6550","30-71608038-9","","Si","Si"
"Farmacia A.M.M.B.A. Bolivar","Farmacia","Buenos Aires","Bolivar","","Avenida Almirante Brown 155, Bolívar, Provincia de Buenos Aires","6550","30-63497331-8","","Si","No"
"Farmacia Del Sur","Farmacia","Buenos Aires","Bolivar","","Av. Calfucura 1515","6550","23-35903579-9","","Si","Si"
"Farmacia Gagliardi","Farmacia","Buenos Aires","Bolivar","","Av. San Martin 302","6550","30-71837992-6","","Si","Si"
"Sudiro","Farmacia","Buenos Aires","Bolivar","","AV. ALMIRANTE BROWN 300","6550","20-35399905-3","","Si","Si"
"Tres De Febrero","Farmacia","Buenos Aires","Bolivar","","3 De Febrero 302","6550","20-25133840-0","","Si","Si"
"Dibilio","Farmacia","Buenos Aires","Boulogne","","Rosario 1711, Boulogne, Buenos Aires Province, Argentina","1609","30-70813036-9","","Si","No"
"Farma 365  - Boulogne 365","Farmacia","Buenos Aires","Boulogne","","Sarratea 955, B1609 Boulogne, Provincia De Buenos Aires, Argentina","1609","30-71665368-0","","Si","Si"
"Farmatodo - Alesel","Farmacia","Buenos Aires","Boulogne","","Blanco Encalada 2486","1609","30-71062353-4","","Si","Si"
"Nueva Santa Rita","Farmacia","Buenos Aires","Boulogne","","Hse, Av. Sucre 431, B1609 Boulogne, Provincia De Buenos Aires","1640","30-70707296-9","","Si","Si"
"Hinckley","Farmacia","Buenos Aires","Bragado","","Gral. Paz 1121, Bragado, Provincia de Buenos Aires, Argentina","6640","27-17809742-9","","No","No"
"Farmacia Bragagnolo","Farmacia","Buenos Aires","Bragado","","Bernardo De Elizondo 2308","6640","27-33641858-0","","No","No"
"Farmacia Del Aguila De Bragado","Farmacia","Buenos Aires","Bragado","","Mitre 31, B6640 Bragado, Provincia De Buenos Aires, Argentina","6640","30-71779905-0","","Si","Si"
"Farmacia Rivadavia 898 De Bragado Scs","Farmacia","Buenos Aires","Bragado","","Rivadavia 898","6640","30-71687199-8","","No","No"
"Guidi","Farmacia","Buenos Aires","Camet","","C. Comodoro Rivadavia 4466","7612","27-29776585-5","","No","No"
"Caimini","Farmacia","Buenos Aires","Campana","","BELGRANO 396","2804","20-21003666-1","","No","No"
"Coarasa","Farmacia","Buenos Aires","Campana","","AMEGHINO 610","2804","27-27657965-2","","No","No"
"Del Parana","Farmacia","Buenos Aires","Campana","","French 470","2804","30-70833778-8","","No","No"
"Farmacia Alvarez","Farmacia","Buenos Aires","Campana","","Colectora Nte. 2858, B2804 Campana, Provincia De Buenos Aires, Argentina","2804","27-26494543-2","","Si","Si"
"Farmacia Perfetti","Farmacia","Buenos Aires","Campana","","Francisco A. Posse 636","2804","27-27743415-1","","Si","Si"
"Fernandez","Farmacia","Buenos Aires","Campana","","Av. Ing Agustín Rocca 200, Campana, Buenos Aires Province, Argentina","2804","30-52528721-8","","No","No"
"Fornes","Farmacia","Buenos Aires","Campana","","Becerra 891","2804","30-71628095-7","","Si","Si"
"Iglesias","Farmacia","Buenos Aires","Campana","","MITRE AVDA.1144","2804","23-20981373-4","","Si","Si"
"Igoillo","Farmacia","Buenos Aires","Campana","","Blvd. Lavalle 787","2804","20-24219039-5","","No","No"
"Lucca","Farmacia","Buenos Aires","Campana","","SARMIENTO 204","2804","30-71150567-5","","Si","Si"
"Ricci","Farmacia","Buenos Aires","Campana","","Av. Dr. Ricardo Balbín 880","ICCIR","27-30516056-9","","Si","Si"
"Altocanning ","Farmacia","Buenos Aires","Canning","","FORMOSA 603","1804","30-71236083-2","","Si","No"
"Canning ","Farmacia","Buenos Aires","Canning","","Mariano Castex 785, Canning, Provincia de Buenos Aires, Argentina","B1804IEH","30-70902010-9","","No","No"
"Farmacia Del Mall","Farmacia","Buenos Aires","Canning","","Mariano Castex 3489, B1804 Canning, Provincia De Buenos Aires","1804","30-71705271-0","","No","No"
"Nueva Canning ","Farmacia","Buenos Aires","Canning","","Sargento Cabral 1953, Canning, Provincia De Buenos Aires, Argentina","1804","33-70902239-9","","Si","Si"
"Yañuk","Farmacia","Buenos Aires","Canning","","Av Castex 1621","1804","30-71236083-2","","Si","No"
"Garavaglia Ii","Farmacia","Buenos Aires","Cañuelas","","Florida 582, B1814evl Cañuelas, Provincia De Buenos Aires","1814","20-23366797-9","","No","No"
"La Nueva Libertad De Cañuelas ","Farmacia","Buenos Aires","Cañuelas","","Avenida Libertad 1630, Cañuelas, Provincia de Buenos Aires, Argentina","1814","30-70839557-5","","No","No"
"Nueva Cañuelas","Farmacia","Buenos Aires","Cañuelas","","Leandro N. Alem 966, Cañuelas, Provincia De Buenos Aires, Argentina","1814","30-70737900-2","","Si","Si"
"Lanfranchi","Farmacia","Buenos Aires","Capilla Del Señor","","E. Urcelay 619","2812","27-17017508-0","","Si","Si"
"San Jose","Farmacia","Buenos Aires","Capilla Del Señor","","Esq Ameghino, Carlos Pellegrini S/n","2812","30-69694255-9","","Si","No"
"Bava","Farmacia","Buenos Aires","Capitan Sarmiento","","Av. Leandro N. Alem 708","2752","20-20472875-6","","No","No"
"Del Pueblo","Farmacia","Buenos Aires","Capitan Sarmiento","","Av. Rivadavia 715","2752","27-28866543-0","","No","No"
"Lagorio ","Farmacia","Buenos Aires","Capitan Sarmiento","","ROQUE SAENZ PEÑA 598","2752","27-34980346-7","","No","No"
"Ruiz","Farmacia","Buenos Aires","Capitan Sarmiento","","Av. Leandro N. Alem 504","2752","20-20472804-7","","No","No"
"Maya","Farmacia","Buenos Aires","Carlos Casares","","PueyrredóN 147, B6530 Carlos Casares, Provincia De Buenos Aires","6530","30-70791352-1","","No","No"
"Massera","Farmacia","Buenos Aires","Carlos Keen","","San Carlos 898, esquina Quintana","6701","20-25351565-2","","No","No"
"Punto De Salud Twenty","Farmacia","Buenos Aires","Carlos Spegazzini","","N.Kirchner N 9962","1812","30-71586099-2","","Si","No"
"Prieto","Farmacia","Buenos Aires","Carlos Tejedor","","Av Catalina Naón De Balbiani 564","6231","20-21445744-0","","Si","Si"
"Antigua Farmacia Gigliotti ","Farmacia","Buenos Aires","Caseros","","Avenida SAN MARTÍN 2643","1678","30-66381172-6","","No","No"
"Etcheverrigaray","Farmacia","Buenos Aires","Caseros","","Avenida Bartolomé Mitre 5194","1678","27-10795431-2","","No","No"
"Ethical ","Farmacia","Buenos Aires","Caseros","","Avenida San Martín 1499","1678","30-68532776-3","","Si","No"
"Farmacia Nueva Colon","Farmacia","Buenos Aires","Caseros","","3 De Febrero 3001 Esq Mitre Caseros, B1678gvf Gran, Provincia De Buenos Aires, Argentina","1678","30-71906911-4","","Si","No"
"Ferdkin S.C.S.","Farmacia","Buenos Aires","Caseros","","Juan Manuel De Rosas 3192","1678","30-70864047-2","","No","No"
"Menendez","Farmacia","Buenos Aires","Caseros","","Bonifacini 5295, Caseros, Provincia de Buenos Aires, Argentina","6004","20-31533700-4","","No","No"
"Moderna","Farmacia","Buenos Aires","Caseros","","Av. San Martín 2287","1678","30-70781021-8","","Si","Si"
"Santa Isabel","Farmacia","Buenos Aires","Caseros","","Av. San Martín 2014","1678","27-26260889-7","","Si","Si"
"Casares 24hs","Farmacia","Buenos Aires","Castelar","","Carlos Casares 1279","1712","33-71794199-9","","Si","No"
"Central Oeste - Antigua Farmacia Rossi De Castelar ","Farmacia","Buenos Aires","Castelar","","INOCENCIO ARIAS 2409","1712","30-69011386-0","","No","No"
"Central Oeste Castelar ","Farmacia","Buenos Aires","Castelar","","BUENOS AIRES 559","1712","30-70833530-0","","No","No"
"Central Oeste Santa Rosa ","Farmacia","Buenos Aires","Castelar","","MACHADO 3575","B1712BLQ","30-70935878-9","","No","No"
"Cogliati Castelar","Farmacia","Buenos Aires","Castelar","","RIVADAVIA AVDA. 19988","1712","30-70820877-5","","No","No"
"Nueva Farma Castelar","Farmacia","Buenos Aires","Castelar","","Santa Rosa 1409, Castelar, Provincia de Buenos Aires, Argentina","1712","30-71631039-2","","No","No"
"Vacunatorio Vacunar Sede Castelar","Vacunatorio","Buenos Aires","Castelar","","MONTES DE OCA 2231","1712","30-70730135-6","","Si","No"
"Badia","Farmacia","Buenos Aires","Chacabuco","","ALTE. BROWN 56 esq. PADRE DOGLIA","6740","27-05799799-6","","No","No"
"Boero","Farmacia","Buenos Aires","Chacabuco","","Av. Solís 97","6740","27-16302148-5","","Si","Si"
"Marino","Farmacia","Buenos Aires","Chacabuco","","Avenida Alsina, Zapiola Y, Chacabuco","6740","20-14332284-0","","Si","Si"
"Vespasiano","Farmacia","Buenos Aires","Chacabuco","","Av. Hipólito Yrigoyen 479,","6740","20-25817631-7","","Si","No"
"Vacunar Sede Champagnat","Vacunatorio","Buenos Aires","Champagnat","","PANAMERICANA RAMAL PILAR KM. 54,5","1630","30-70730135-6","","Si","No"
"Farmacia Del Norte","Farmacia","Buenos Aires","Chascomus","","El Ombú 102 ","7136","30-70824056-3","","Si","Si"
"Bogliolo","Farmacia","Buenos Aires","Chivilcoy","","Av 22 De Octubre 184","6620","27-22894141-2","","No","No"
"Ceballo","Farmacia","Buenos Aires","Chivilcoy","","Av. Ceballos 259","6620","27-18381122-9","","No","No"
"Cruz Roja","Farmacia","Buenos Aires","Chivilcoy","","Carlos Pellegrini 250, B6620 Chivilcoy, Provincia De Buenos Aires","6620","33-52809495-9","","Si","No"
"De Francesco","Farmacia","Buenos Aires","Chivilcoy","","Av. Suarez 136","6620","30-71173712-6","","No","No"
