https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link,Tipo,Provincia,Localidad,Barrio,Domicilio,Cód. Postal,Cuit,Telefono,Ap.Vacuna,Ap.Vacuna Menor
Farmacity 158-Directorio,Farmacia,Capital Federal,Capital Federal,PARQUE CHACABUCO,AVENIDA DIRECTORIO  2896,1406,30-69213874-7,(011)4613-9388,No,No
Farmacity 159-Jujuy 2 - Irigoyen,Farmacia,Jujuy,San Salvador De Jujuy,,HIPOLITO IRIGOYEN AVDA. 1116,4600,30-69213874-7,(0388)431-0877,No,No
Farmacity 160-Gascon,Farmacia,Capital Federal,Capital Federal,ALMAGRO,GASCON 632,1181,30-69213874-7,(011)4864-5252,No,No
Farmacity 161-Madero 3,Farmacia,Capital Federal,Capital Federal,PUERTO MADERO,JUANA MANSO 475,1107,30-69213874-7,(011)4311-1246,No,No
Farmacity 162-Urquiza,Farmacia,Capital Federal,Capital Federal,ALMAGRO,RIVADAVIA AVDA. 3102,1200,30-69213874-7,(011)4862-4640,No,No
Farmacity 163-Chaco - 7 Las Heras,Farmacia,Chaco,Resistencia,,LAS HERAS 736,3500,30-69213874-7,(0362)448-8029,No,No
Farmacity 164-Bufano,Farmacia,Capital Federal,Capital Federal,VILLA GENERAL MITRE,GAONA AVDA. 3004,1406,30-69213874-7,(011)4583-2998,Si,No
Farmacity 165-San Luis 4,Farmacia,San Luis,San Luis,,CASEROS Y PRESIDENTE ARTURO ILLIA AVDA.,5700,30-69213874-7,(0266)442-9484,No,No
Farmacity 166-San Luis Mitre,Farmacia,San Luis,Villa Mercedes,,CORDOBA 37,5730,30-69213874-7,(02657)432-163,No,No
Farmacity 167-Rosetti,Farmacia,Capital Federal,Capital Federal,CHACARITA,FEDERICO LACROZE AVDA. 3801,1424,30-69213874-7,(011)4554-5568,No,No
Farmacity 168-La Cordillera - Cba,Farmacia,Cordoba,Cordoba,,LA CORDILLERA 3941,5000,30-69213874-7,(0351)481-2001,No,No
Farmacity 169-Mendoza,Farmacia,Capital Federal,Capital Federal,BELGRANO,CABILDO AVDA. 2151,1428,30-69213874-7,(011)4782-3737,No,No
Farmacity 174-Chaco 8 - Sarmiento,Farmacia,Chaco,Resistencia,,SARMIENTO AVDA. 744,3500,30-69213874-7,(0362)476-1770,No,No
Farmacity 2-Lavalle,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,LAVALLE 919,1084,30-69213874-7,(011)4326-0235,No,No
Farmacity 3-Flores,Farmacia,Capital Federal,Capital Federal,FLORES,RIVADAVIA AVDA. 6882,1406,30-69213874-7,(011)4637-7797,No,No
Farmacity 4-Malabia,Farmacia,Capital Federal,Capital Federal,VILLA CRESPO,CORRIENTES AVDA. 5288,1414,30-69213874-7,(011)4857-3699/3651,No,No
Farmacity 5-Callao,Farmacia,Capital Federal,Capital Federal,BALVANERA,CORRIENTES AVDA. 1820,1083,30-69213874-7,(011)4372-2206/2209,No,No
Farmacity 8-Pueyrredon,Farmacia,Capital Federal,Capital Federal,RECOLETA,PUEYRREDON AVDA. 1845,1425,30-69213874-7,(011)4801-7401,No,No
Farmacity 9-Junin,Farmacia,Capital Federal,Capital Federal,RECOLETA,SANTA FE AVDA. 2139,1425,30-69213874-7,(011)4827-5699,No,No
Farmacity 10-Carabobo,Farmacia,Capital Federal,Capital Federal,FLORES,RIVADAVIA AVDA. 6398,1406,30-69213874-7,(011)4633-0074/4632-695,No,No
Farmacity 187-Moldes,Farmacia,Capital Federal,Capital Federal,BELGRANO,MONROE AVDA. 2703,1428,30-69213874-7,(011)4543-8046,No,No
Farmacity 12-Panama,Farmacia,Capital Federal,Capital Federal,ALMAGRO,CORRIENTES AVDA. 4647,1195,30-69213874-7,(011)4867-3276/1230,No,No
Farmacity 13-Triunvirato,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,TRIUNVIRATO AVDA. 4634,1431,30-69213874-7,(011)4523-9697/4522-3756,No,No
Farmacity 14-Cabildo,Farmacia,Capital Federal,Capital Federal,BELGRANO,AVENIDA CABILDO 2340,1428,30-69213874-7,(011)4788-4220/4101,No,No
Farmacity 15-Las Heras,Farmacia,Capital Federal,Capital Federal,RECOLETA,LAS HERAS AVDA. 2055,1425,30-69213874-7,(011)4809-0277/0275,No,No
Farmacity 16-Ezeiza,Farmacia,Buenos Aires,Ezeiza,,AEROPUERTO INTERNACIONAL EZEIZA,1804,30-69213874-7,(011)4480-2770/2771,No,No
Farmacity 17-Once,Farmacia,Capital Federal,Capital Federal,BALVANERA,PUEYRREDON AVDA. 539,1083,30-69213874-7,(011)4961-9595/4962-1871,No,No
Farmacity 18-Liniers,Farmacia,Capital Federal,Capital Federal,LINIERS,RIVADAVIA AVDA. 11420,1408,30-69213874-7,(011)4641-4655/5758,No,No
Farmacity 19-Alsina,Farmacia,Capital Federal,Capital Federal,MONSERRAT,AVENIDA ENTRE RIOS 196,1090,30-69213874-7,(011)4373-3276,No,No
Farmacity 20-Florida,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,FLORIDA 474,1084,30-69213874-7,(011)4322-7777,No,No
Farmacity 21-Vidt,Farmacia,Capital Federal,Capital Federal,PALERMO,AVENIDA SANTA FE  3380,1425,30-69213874-7,(011)4778-3276,No,No
Farmacity 22-Nazca,Farmacia,Capital Federal,Capital Federal,FLORES,RIVADAVIA AVDA. 7263,1406,30-69213874-7,(011)4619-0035/4611-3276,No,No
Farmacity 23-Medrano,Farmacia,Capital Federal,Capital Federal,ALMAGRO,AVENIDA CORRIENTES  3930,1200,30-69213874-7,(011)4867-6665/4867-6666,No,No
Farmacity 24-Larrea,Farmacia,Capital Federal,Capital Federal,RECOLETA,SANTA FE AVDA. 2453,1425,30-69213874-7,(011)5778-8888/5788-0111,No,No
Farmacity 25-Diagonal,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,DIAGONAL ROQUE SAENZ PEÑA 910,1084,30-69213874-7,(011)4393-7222/0421,No,No
Farmacity 26-Castro Barros,Farmacia,Capital Federal,Capital Federal,ALMAGRO,RIVADAVIA AVDA. 3827,1200,30-69213874-7,(011)4958-8085/8084,No,No
Farmacity 27-La Plata,Farmacia,Capital Federal,Capital Federal,ALMAGRO,RIVADAVIA AVDA. 4455,1200,30-69213874-7,(011)4981-8252,No,No
Farmacity 28- Rodriguez Peña,Farmacia,Capital Federal,Capital Federal,RECOLETA,SANTA FE AVDA. 1740,1425,30-69213874-7,(011)4815-6026,No,No
Farmacity 29-Cuenca,Farmacia,Capital Federal,Capital Federal,VILLA DEL PARQUE,CUENCA 3145,1417,30-69213874-7,(011)4501-4422,No,No
Farmacity 30-Sucre,Farmacia,Capital Federal,Capital Federal,BELGRANO,CABILDO AVDA. 1840,1428,30-69213874-7,(011)4780-0001/0005,No,No
Farmacity 31-Lacroze,Farmacia,Capital Federal,Capital Federal,COLEGIALES,CABILDO AVDA. 868,1426,30-69213874-7,(011)4776-6974/4774-681,No,No
Farmacity 33-Aerop. Jorge Newbery,Farmacia,Capital Federal,Capital Federal,RETIRO,AEROPARQUE JORGE NEWBERY,1365,30-69213874-7,(011)5480-3800,No,No
Farmacity 34-Aerop. Intern. Pajas Blancas,Farmacia,Cordoba,Cordoba,,AEROPUERTO INTERNACIONAL PAJAS BLANCAS,5000,30-69213874-7,(0351)475-9155,No,No
Farmacity 35-Tribunales,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,CORRIENTES AVDA. 1236,1084,30-69213874-7,(011)4381-1214,No,No
Farmacity 37- L.m. Campos,Farmacia,Capital Federal,Capital Federal,,Av. Luis María Campos 1501,1426,30-69213874-7,(011) 47812044,No,No
Farmacity 38-Bustamante,Farmacia,Capital Federal,Capital Federal,PALERMO,LAS HERAS AVDA. 2845,1425,30-69213874-7,(011)4807-2066,No,No
Farmacity 39 -Olleros,Farmacia,Capital Federal,Capital Federal,COLEGIALES,OLLEROS 1802,1426,30-69213874-7,(011)4771-9710,No,No
Farmacity 40-Vte Lopez,Farmacia,Capital Federal,Capital Federal,RECOLETA,RODRIGUEZ PEÑA 1572,1425,30-69213874-7,(011)4816-0858,No,No
Farmacity 41-Reconquista,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,CORRIENTES AVDA. 484,1084,30-69213874-7,(011)4326-3791,No,No
Farmacity 42-Recoleta,Farmacia,Capital Federal,Capital Federal,RECOLETA,CALLAO AVDA. 1600,1425,30-69213874-7,(011)4804-5221,No,No
Farmacity 43-Uruguay,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,CORDOBA AVDA. 1467,1084,30-69213874-7,(011)4812-0882,No,No
Farmacity 44-Uriburu,Farmacia,Capital Federal,Capital Federal,BALVANERA,RIVADAVIA AVDA. 2215,1083,30-69213874-7,(011)4953-4888,No,No
Farmacity 45-Palermo,Farmacia,Capital Federal,Capital Federal,PALERMO,RAUL SCALABRINI ORTIZ AVDA. 3149,1425,30-69213874-7,(011)4809-0666,No,No
Farmacity 46-Esmeralda,Farmacia,Capital Federal,Capital Federal,RETIRO,SANTA FE AVDA. 802,1365,30-69213874-7,(011)4312-0227,No,No
Farmacity 47-Talcahuano,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,SANTA FE AVDA. 1310,1084,30-69213874-7,(011)4814-5084,No,No
Farmacity 48-Guise,Farmacia,Capital Federal,Capital Federal,PALERMO,REPUBLICA DOMINICANA 3358,1425,30-69213874-7,(011)4827-2247,No,No
Farmacity 49-Juramento,Farmacia,Capital Federal,Capital Federal,BELGRANO,JURAMENTO 1941,1428,30-69213874-7,(011)4780-2368,No,No
Farmacity 51-Incas,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,TRIUNVIRATO AV. 3752,1431,30-69213874-7,(011)4523-6912,No,No
Farmacity 52-Av. De Mayo,Farmacia,Capital Federal,Capital Federal,MONSERRAT,DE MAYO AVDA. 602,1090,30-69213874-7,(011)4342-3997/4343-0072,No,No
Farmacity 53-Boedo,Farmacia,Capital Federal,Capital Federal,BOEDO,BOEDO 955,1218,30-69213874-7,(011)4932-1734,No,No
Farmacity 54-Nuñez,Farmacia,Capital Federal,Capital Federal,NUÑEZ,DEL LIBERTADOR AVDA. 6068,1429,30-69213874-7,(011)4780-1060,No,No
Farmacity 55-Pueyrredon Iii,Farmacia,Capital Federal,Capital Federal,RECOLETA,PUEYRREDON AVDA. 991,1425,30-69213874-7,(011)4961-9024,No,No
Farmacity 58-Colon,Farmacia,Cordoba,Cordoba,,COLON 66,5000,30-69213874-7,(0351)421-7418,No,No
Farmacity 59-Velez Sarfield,Farmacia,Cordoba,Cordoba,,VELEZ SARFIELD 294,5000,30-69213874-7,(0351)411-3056,No,No
Farmacity 60-Cerro Las Rosas,Farmacia,Cordoba,Cordoba,,RAFAEL NUÑEZ 4053,5000,30-69213874-7,(0351)481-2256,No,No
Farmacity 61-Congreso,Farmacia,Capital Federal,Capital Federal,BALVANERA,CALLAO AVDA. 27,1083,30-69213874-7,(011)4383-6554,No,No
Farmacity 62-Libertad,Farmacia,Capital Federal,Capital Federal,RECOLETA,LIBERTAD 1279,1425,30-69213874-7,(011)4812-0051,No,No
Farmacity 63-Elcano,Farmacia,Capital Federal,Capital Federal,BELGRANO,ELCANO AVDA. 3102,1428,30-69213874-7,(011)4551-6545,No,No
Farmacity 64-Juncal,Farmacia,Capital Federal,Capital Federal,PALERMO,JUNCAL 2781,1425,30-69213874-7,(011)4826-8580,No,No
Farmacity 65-Cramer,Farmacia,Capital Federal,Capital Federal,BELGRANO,CRAMER AVDA. 2301,1428,30-69213874-7,(011)4511-2180,No,No
Farmacity 66-Chacabuco,Farmacia,Cordoba,Cordoba,,CHACABUCO 588,5000,30-69213874-7,(0351)411-0927,No,No
Farmacity 67-Las Heras Iii,Farmacia,Capital Federal,Capital Federal,RECOLETA,LAS HERAS AVDA. 2324,1425,30-69213874-7,(011)4800-1676,No,No
Farmacity 68-Alem,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,LEANDRO N. ALEM 702,1084,30-69213874-7,(011)4893-1401,No,No
Farmacity 69-Paroissien,Farmacia,Capital Federal,Capital Federal,NUÑEZ,CABILDO AVDA. 4001,1429,30-69213874-7,(011)4511-3050,No,No
Farmacity 70-Estrada,Farmacia,Cordoba,Cordoba,,JOSE MANUEL ESTRADA 153,5000,30-69213874-7,(0351)468-7490,No,No
Farmacity 71-Madero Ii,Farmacia,Capital Federal,Capital Federal,PUERTO MADERO,JUANA MANSO 1189,1107,30-69213874-7,(011)5775-0081,No,No
Farmacity 72-Beiro,Farmacia,Capital Federal,Capital Federal,VILLA DEVOTO,FRANCISCO BEIRO AVDA. 4366,1419,30-69213874-7,(011)4580-2270,No,No
Farmacity 73-Canning,Farmacia,Capital Federal,Capital Federal,PALERMO,CORDOBA AVDA. 4601,1425,30-69213874-7,(011)4770-9506,No,No
Farmacity 74-Irigoyen,Farmacia,Cordoba,Cordoba,,HIPOLITO IRIGOYEN 396,5000,30-69213874-7,(0351)423-9680,No,No
Farmacity 75-Colon Ii,Farmacia,Cordoba,Cordoba,,COLON 717,5000,30-69213874-7,(0351) 4239665,No,No
Farmacity 76-Arias,Farmacia,Capital Federal,Capital Federal,NUÑEZ,CABILDO AVDA. 4633,1429,30-69213874-7,(011)4511-3052,No,No
Farmacity 78-Labiela,Farmacia,Capital Federal,Capital Federal,RECOLETA,ROBERTO MARCELINO ORTIZ 1861,1425,30-69213874-7,(011)4514-3231,No,No
Farmacity 79-Chacabuco Ii,Farmacia,Cordoba,Cordoba,,CHACACUCO 79,5000,30-69213874-7,(0351)427-2664,No,No
Farmacity 82-Maipu,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,CORDOBA AVDA. 685,1084,30-69213874-7,(011)4313-3066,No,No
Farmacity 83-27 De Abril,Farmacia,Cordoba,Cordoba,,27 DE ABRIL 284,5000,30-69213874-7,(0351)426-2166,No,No
Farmacity 84-Lacarra,Farmacia,Capital Federal,Capital Federal,FLORESTA,RIVADAVIA AVDA. 8784,1407,30-69213874-7,(011)4674-6440,No,No
Farmacity 85-Maure,Farmacia,Capital Federal,Capital Federal,BELGRANO,MAURE 1615,1428,30-69213874-7,(011)4511-4681,No,No
Farmacity 86-Cerro Ii,Farmacia,Cordoba,Cordoba,,RAFAEL NUÑEZ AVDA. 4418,5000,30-69213874-7,(0351) 4829024,No,No
Farmacity 87-Quesada,Farmacia,Capital Federal,Capital Federal,BELGRANO,CABILDO AVDA. 2967,1428,30-69213874-7,(011)4704-6565,No,No
Farmacity 88-Pueyrredon 60,Farmacia,Cordoba,Cordoba,,PUEYRREDON 60,5000,30-69213874-7,(0351)460-0844,No,No
Farmacity 89-Jujuy,Farmacia,Capital Federal,Capital Federal,BALVANERA,INDEPENDENCIA AVDA. 2676,1083,30-69213874-7,(011)4943-6933,No,No
Farmacity 90-Castro Barros Cba,Farmacia,Cordoba,Cordoba,,CASTRO BARROS 523,5000,30-69213874-7,(0351)473-3800,No,No
Farmacity 91-San Luis,Farmacia,San Luis,San Luis,,JUNIN 952,5700,30-69213874-7,(0266)444-6408,No,No
Farmacity 92-Soler,Farmacia,Capital Federal,Capital Federal,PALERMO,SCALABRINI ORTIZ 1868,1425,30-69213874-7,(011)4833-9229,No,No
Farmacity 93-Caseros,Farmacia,Capital Federal,Capital Federal,PARQUE PATRICIOS, BOEDO AVDA. 2054,1264,30-69213874-7,(011)4912-9149,No,No
Farmacity 94-Sarmiento,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,SARMIENTO 1490,1084,30-69213874-7,(011)4373-5847,No,No
Farmacity 95-Pedraza,Farmacia,Capital Federal,Capital Federal,BELGRANO,CABILDO AVDA. 3422,1428,30-69213874-7,(011)4511-3053,No,No
Farmacity 96-Riobamba,Farmacia,Capital Federal,Capital Federal,RECOLETA,CORDOBA AVDA. 1861,1425,30-69213874-7,(011)4816-7362,No,No
Farmacity 97-Villa Mercedes,Farmacia,San Luis,Villa Mercedes,,PEDERNERA 424,5730,30-69213874-7,(02657)429-700,No,No
Farmacity 98-Abasto,Farmacia,Capital Federal,Capital Federal,ALMAGRO,CORRIENTES AVDA. 3202,1200,30-69213874-7,(011)4862-3943,No,No
Farmacity 99-Gualeguaychu,Farmacia,Entre Rios,Gualeguaychu,,25 DE MAYO 882,2820,30-69213874-7,(03446)424-914/460,No,No
Farmacity 186-La Rioja,Farmacia,Capital Federal,Capital Federal,SAN CRISTOBAL,BELGRANO AVDA 3053,1210,30-69213874-7,(011)4932-6468,No,No
Farmacity 192 – Vernet,Farmacia,Capital Federal,Capital Federal,PARQUE CHACABUCO,AVENIDA LA PLATA 1541,1250,30-69213874-7,(011)4921-5930,No,No
Farmacity 191 – Hidalgo,Farmacia,Capital Federal,Capital Federal,CABALLITO,AVENIDA DIAZ VELEZ 5299,1405,30-69213874-7,(011)4981-1410,No,No
Farmacity 198-Av. De Mayo 2,Farmacia,Capital Federal,Capital Federal,BALVANERA,AVENIDA DE MAYO 1470,1085,30-69213874-7,(011)4382-1825,No,No
Farmacity 334 - Salguero Y Libertador,Farmacia,Capital Federal,Capital Federal,RETIRO,Jerónimo Salguero 2963,1009,30-69213874-7,NA,Si,No
Farmacity 172-Nazca 2,Farmacia,Capital Federal,Capital Federal,FLORES,NAZCA AVDA. 1982  ,1416,30-69213874-7,(011)5197-2026,No,No
Farmacity 173-Santiago Del Estero,Farmacia,Santiago Del Estero,Santiago Del Estero,,TUCUMAN 244,4200,30-69213874-7,(0385)428-3236,No,No
Farmacity 341 - Barrio Chino,Farmacia,Capital Federal,Capital Federal,,Mendoza 1370,1428,30-69213874-7,(011) 38010698  ,No,No
Farmacity 175-Cba Villa Maria,Farmacia,Cordoba,Villa De Maria,,25 DE MAYO 156,5900,30-69213874-7,(0353)454-9996,No,No
Farmacity 176-Avellaneda,Farmacia,Capital Federal,Capital Federal,CABALLITO,FEDERICO GARCIA LORCA 399,1405,30-69213874-7,(011)4431-2297,No,No
Farmacity 177-Serrano,Farmacia,Capital Federal,Capital Federal,PALERMO,SANTA FE AVDA. 4180,1425,30-69213874-7,(011)4770-9002,No,No
